timestamp,event_type,detection_result,orange_percentage,green_percentage,duration_seconds,debug_mode
2025-09-04 15:55:46,orange_start,オレンジ,100.0,0.0,0.0,debug
2025-09-04 15:55:47,orange_continue,オレンジ,100.0,0.0,1.0,debug
2025-09-04 15:55:48,orange_continue,オレンジ,100.0,0.0,2.1,debug
2025-09-04 15:55:49,orange_continue,オレンジ,100.0,0.0,3.1,debug
2025-09-04 15:55:50,orange_continue,オレンジ,100.0,0.0,4.1,debug
2025-09-04 15:55:51,orange_continue,オレンジ,100.0,0.0,5.2,debug
2025-09-04 15:55:52,orange_continue,オレンジ,100.0,0.0,6.2,debug
2025-09-04 15:55:53,orange_continue,オレンジ,100.0,0.0,7.3,debug
2025-09-04 15:55:55,orange_continue,オレンジ,100.0,0.0,8.3,debug
2025-09-04 15:55:56,orange_continue,オレンジ,100.0,0.0,9.4,debug
2025-09-04 15:55:57,notification,オレンジ,100.0,0.0,10.4,debug
2025-09-04 16:03:19,orange_start,オレンジ,100.0,0.0,0.0,debug,
2025-09-04 16:03:20,orange_end,緑,0.0,100.0,1.0,debug,
2025-09-04 16:03:21,green_detection,緑,0.0,100.0,0.0,debug,
2025-09-04 16:03:22,green_detection,緑,0.0,100.0,0.0,debug,
2025-09-04 16:03:23,green_detection,緑,0.0,100.0,0.0,debug,
2025-09-04 16:03:24,orange_start,オレンジ,100.0,0.0,0.0,debug,
2025-09-04 16:03:25,orange_continue,オレンジ,100.0,0.0,1.0,debug,
2025-09-04 16:03:26,orange_end,緑,0.0,100.0,2.1,debug,
2025-09-04 16:03:27,orange_start,オレンジ,100.0,0.0,0.0,debug,
2025-09-04 16:03:28,orange_end,緑,0.0,100.0,1.0,debug,
2025-09-04 16:03:29,green_detection,緑,0.0,100.0,0.0,debug,
2025-09-04 16:03:30,green_detection,緑,0.0,100.0,0.0,debug,
2025-09-04 16:03:31,orange_start,オレンジ,100.0,0.0,0.0,debug,
2025-09-04 16:03:32,orange_continue,オレンジ,100.0,0.0,1.0,debug,
2025-09-04 16:03:33,orange_continue,オレンジ,100.0,0.0,2.1,debug,
2025-09-04 16:03:35,orange_continue,オレンジ,100.0,0.0,3.1,debug,
2025-09-04 16:03:36,orange_continue,オレンジ,100.0,0.0,4.1,debug,
2025-09-04 16:03:37,orange_end,緑,0.0,100.0,5.2,debug,
2025-09-04 16:03:38,green_detection,緑,0.0,100.0,0.0,debug,
2025-09-04 16:03:39,orange_start,オレンジ,100.0,0.0,0.0,debug,
2025-09-04 16:03:40,orange_continue,オレンジ,100.0,0.0,1.0,debug,
2025-09-04 16:03:41,orange_continue,オレンジ,100.0,0.0,2.1,debug,
2025-09-04 16:03:42,orange_continue,オレンジ,100.0,0.0,3.1,debug,
2025-09-04 16:03:43,orange_end,緑,0.0,100.0,4.1,debug,
2025-09-04 16:03:44,orange_start,オレンジ,100.0,0.0,0.0,debug,
2025-09-04 16:03:45,orange_end,緑,0.0,100.0,1.1,debug,
2025-09-04 16:03:46,orange_start,オレンジ,100.0,0.0,0.0,debug,
2025-09-04 16:03:47,orange_end,緑,0.0,100.0,1.0,debug,
2025-09-04 16:03:48,orange_start,オレンジ,100.0,0.0,0.0,debug,
2025-09-04 16:03:49,orange_continue,オレンジ,100.0,0.0,1.0,debug,
2025-09-04 16:03:50,orange_continue,オレンジ,100.0,0.0,2.1,debug,
2025-09-04 16:03:51,orange_continue,オレンジ,100.0,0.0,3.1,debug,
2025-09-04 16:03:52,orange_end,緑,0.0,100.0,4.1,debug,
2025-09-04 16:03:53,orange_start,オレンジ,100.0,0.0,0.0,debug,
2025-09-04 16:03:54,orange_end,緑,0.0,100.0,1.0,debug,
2025-09-04 16:03:55,green_detection,緑,0.0,100.0,0.0,debug,
2025-09-04 16:03:56,green_detection,緑,0.0,100.0,0.0,debug,
2025-09-04 16:03:57,orange_start,オレンジ,100.0,0.0,0.0,debug,
2025-09-04 16:03:58,orange_end,緑,0.0,100.0,1.0,debug,
2025-09-04 16:03:59,orange_start,オレンジ,100.0,0.0,0.0,debug,
2025-09-04 16:04:00,orange_continue,オレンジ,100.0,0.0,1.0,debug,
2025-09-04 16:04:02,orange_end,緑,0.0,100.0,2.1,debug,
2025-09-04 16:04:03,orange_start,オレンジ,100.0,0.0,0.0,debug,
2025-09-04 16:04:04,orange_continue,オレンジ,100.0,0.0,1.1,debug,
2025-09-04 16:04:05,orange_end,緑,0.0,100.0,2.1,debug,
2025-09-04 16:04:06,orange_start,オレンジ,100.0,0.0,0.0,debug,
2025-09-04 16:04:07,orange_continue,オレンジ,100.0,0.0,1.1,debug,
2025-09-04 16:04:08,orange_end,緑,0.0,100.0,2.1,debug,
2025-09-04 16:04:09,green_detection,緑,0.0,100.0,0.0,debug,
2025-09-04 16:04:10,green_detection,緑,0.0,100.0,0.0,debug,
2025-09-04 16:04:11,orange_start,オレンジ,100.0,0.0,0.0,debug,
2025-09-04 16:04:12,orange_end,緑,0.0,100.0,1.0,debug,
2025-09-04 16:04:13,orange_start,オレンジ,100.0,0.0,0.0,debug,
2025-09-04 16:04:15,orange_end,緑,0.0,100.0,1.0,debug,
2025-09-04 16:04:16,orange_start,オレンジ,100.0,0.0,0.0,debug,
2025-09-04 16:04:17,orange_end,緑,0.0,100.0,1.1,debug,
2025-09-04 16:04:18,orange_start,オレンジ,100.0,0.0,0.0,debug,
2025-09-04 16:04:19,orange_continue,オレンジ,100.0,0.0,1.1,debug,
2025-09-04 16:04:20,orange_end,緑,0.0,100.0,2.1,debug,
2025-09-04 16:04:21,green_detection,緑,0.0,100.0,0.0,debug,
2025-09-04 16:04:22,orange_start,オレンジ,100.0,0.0,0.0,debug,
2025-09-04 16:04:23,orange_continue,オレンジ,100.0,0.0,1.1,debug,
2025-09-04 16:04:24,orange_end,緑,0.0,100.0,2.1,debug,
2025-09-04 16:04:25,orange_start,オレンジ,100.0,0.0,0.0,debug,
2025-09-04 16:04:26,orange_continue,オレンジ,100.0,0.0,1.0,debug,
2025-09-04 16:04:27,orange_end,緑,0.0,100.0,2.1,debug,
2025-09-04 16:04:28,green_detection,緑,0.0,100.0,0.0,debug,
2025-09-04 16:04:29,green_detection,緑,0.0,100.0,0.0,debug,
2025-09-04 16:04:30,green_detection,緑,0.0,100.0,0.0,debug,
2025-09-04 16:04:31,green_detection,緑,0.0,100.0,0.0,debug,
2025-09-04 16:04:32,green_detection,緑,0.0,100.0,0.0,debug,
2025-09-04 16:04:33,orange_start,オレンジ,100.0,0.0,0.0,debug,
2025-09-04 16:04:35,orange_continue,オレンジ,100.0,0.0,1.0,debug,
2025-09-04 16:09:15,orange_start,オレンジ,100.0,0.0,0.0,normal,4.png
2025-09-04 16:17:48,orange_start,オレンジ,100.0,0.0,0.0,debug,1.png
2025-09-04 16:17:49,orange_continue,オレンジ,100.0,0.0,1.0,debug,1.png
2025-09-04 16:17:50,orange_continue,オレンジ,100.0,0.0,2.0,debug,4.png
2025-09-04 16:17:51,orange_continue,オレンジ,100.0,0.0,3.1,debug,1.png
2025-09-04 16:17:52,orange_end,緑,0.0,100.0,4.1,debug,3.png
2025-09-04 16:17:53,green_detection,緑,0.0,100.0,0.0,debug,3.png
2025-09-05 07:53:36,green_detection,緑,0.0,100.0,0.0,normal,3.png
2025-09-05 07:53:58,green_detection,緑,0.0,100.0,0.0,normal,3.png
2025-09-05 07:54:04,green_detection,緑,0.0,100.0,0.0,normal,2.png
2025-09-05 07:54:21,orange_start,オレンジ,100.0,0.0,0.0,normal,4.png
2025-09-05 07:56:31,orange_start,オレンジ,94.1,0.0,0.0,normal,target.png
